priority,lines,path_old,path_new,status
1,1885,src/layouts/MainLayout.vue,,pending
2,1357,src/modules/accounting/components/SoldUnitDetailView.vue,,pending
3,1259,src/views/ReservationsView.vue,,pending
4,1229,src/views/TasksView.vue,,pending
5,1215,src/components/project/ProjectUnitsTab.vue,,pending
6,1158,src/services/salesService.js,,pending
7,1142,src/views/KnowledgeManagementView.vue,,pending
8,1127,src/services/pdfService.js,,pending
9,1121,src/views/ContractFormView.vue,,pending
10,1083,src/modules/sales/tabs/targets/SalesTargetsTab.vue,,pending
11,1070,src/modules/editor/views/EditorView.vue,,pending
12,1046,src/components/UserManagement.vue,,pending
13,1025,src/views/TeamManagementView.vue,,pending
14,997,src/services/hrService.js,,pending
15,978,src/views/ExclusiveProjectView.vue,,pending
16,958,src/components/AddUserModal.vue,,pending
17,916,src/components/EditContractInfoModal.vue,,pending
18,897,src/views/ImageApprovalView.vue,,pending
19,876,src/modules/sales/tabs/project-schedules/SalesProjectSchedulesTab.vue,,pending
20,872,src/views/ContractsView.vue,,pending
21,786,src/services/contractService.js,,pending
22,780,src/views/BoardsView.vue,,pending
23,778,src/modules/credit/components/CreditBookingDetailPanel.vue,,pending
24,772,src/components/ChatbotPanel.vue,,pending
25,770,src/views/DeveloperProjectUnitsView.vue,,pending
26,758,src/services/creditService.js,,pending
27,736,src/views/TeamsView.vue,,pending
28,731,src/views/AgentsView.vue,,pending
29,725,src/modules/sales/components/UnitReservationModal.vue,,pending
30,708,src/services/accountingService.js,,pending
31,705,src/layouts/components/AppSidebar.vue,,pending
32,705,src/composables/credit/useCreditBookings.js,,pending
33,693,src/layouts/components/AppHeader.vue,,pending
34,692,src/modules/editor/views/EditorProjectsView.vue,,pending
35,690,src/views/AiAssistantView.vue,,pending
36,668,src/modules/sales/tabs/team/SalesTeamTab.vue,,pending
37,663,src/views/CancelledReservationsView.vue,,pending
38,659,src/modules/sales/components/PaymentPlanModal.vue,,pending
39,653,src/modules/accounting/components/SalaryDistributionModal.vue,,pending
40,648,src/composables/project/useProjectManagement.js,,pending
41,647,src/components/ContractModal.vue,,pending
42,613,src/views/DeveloperDetailView.vue,,pending
43,611,src/components/LoginPage.vue,,pending
44,608,src/modules/sales/tabs/unit-search/SalesUnitSearchTab.vue,,pending
45,605,src/components/project/ProjectCard.vue,,pending
46,600,src/views/DashboardView.vue,,pending
47,587,src/modules/sales/components/NegotiationApprovalModal.vue,,pending
48,581,src/views/ProfileView.vue,,pending
49,580,src/modules/inventory/tabs/projects/InventoryProjectsTab.vue,,pending
50,576,src/views/DevelopersView.vue,,pending
51,571,src/modules/editor/views/EditorDetailView.vue,,pending
52,562,src/views/ProjectTrackerView.vue,,pending
53,554,src/components/ReportsTab.vue,,pending
54,553,src/services/marketingService.js,,pending
55,539,src/composables/project/useProjectUnits.js,,pending
56,533,src/views/MyRequestsView.vue,,pending
57,532,src/constants/permissions.js,,pending
58,529,src/modules/marketing/tabs/projects/MarketingProjectsTab.vue,,pending
59,526,src/modules/inventory/tabs/contracts/InventoryContractsTab.vue,,pending
60,513,src/views/ProjectManagementView.vue,,pending
61,503,src/modules/hr/tabs/teams/HRTeamsTab.vue,,pending
